Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
120,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
121,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
124,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
126,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
127,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
128,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
129,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
130,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
131,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
132,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
133,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
134,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
136,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
138,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
139,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
