# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
218,-72,20,21,41,42,24,44,26,46,28,48,30,31,51,52,72,54,36,18
219,-72,20,21,41,42,62,63,45,27,9,10,30,31,51,52,72,54,36,18
220,-72,20,40,22,23,24,25,26,46,47,48,49,50,32,52,72,16,36,56
221,-72,20,40,22,23,24,25,26,46,47,48,49,50,32,52,72,54,36,18
222,-72,20,40,22,23,24,25,45,27,47,48,49,50,32,52,72,16,36,56
223,-72,20,40,22,23,24,25,45,27,47,48,49,50,32,52,72,54,36,18
224,-72,20,40,22,23,24,44,26,46,28,48,49,50,32,52,72,16,36,56
225,-72,20,40,22,23,24,44,26,46,28,48,49,50,32,52,72,54,36,18
226,-72,20,40,22,23,24,44,45,27,28,48,49,50,32,52,72,54,36,18
227,-72,20,40,22,23,43,25,26,46,47,29,49,50,32,52,72,54,36,18
228,-72,20,40,22,23,43,44,26,46,28,29,49,50,32,52,72,54,36,18
229,-72,20,40,22,42,24,25,26,46,47,48,30,50,32,52,72,16,36,56
230,-72,20,40,22,42,24,25,26,46,47,48,30,50,32,52,72,54,36,18
231,-72,20,40,22,42,24,25,45,27,47,48,30,50,32,52,72,54,36,18
232,-72,20,40,22,42,24,44,45,27,28,48,30,50,32,52,72,54,36,18
233,-72,20,40,22,42,62,44,45,27,28,10,30,50,32,52,72,54,36,18
234,-72,20,40,41,23,24,25,26,46,47,48,49,31,32,52,72,16,36,56
235,-72,20,40,41,23,24,44,26,46,28,48,49,31,32,52,72,54,36,18
236,-72,20,40,41,42,62,63,45,27,9,10,30,31,32,52,72,54,36,18
237,-72,20,40,60,23,24,25,26,46,47,48,49,12,32,52,72,35,36,37
238,-72,20,40,60,23,24,44,26,46,28,48,49,12,32,52,72,16,36,56
239,-72,20,40,60,23,24,44,26,46,28,48,49,12,32,52,72,35,36,37
240,-72,20,40,60,42,24,25,45,27,47,48,30,12,32,52,72,54,36,18
241,-72,20,40,60,42,24,44,45,27,28,48,30,12,32,52,72,54,36,18
242,-30,21,4,6,8,10,12,14,16,18,20,22,24,26,9,30,13,15,17
243,-30,21,4,25,8,10,12,14,16,18,20,22,5,26,9,30,13,15,17
244,-30,21,23,6,8,10,12,14,16,18,20,22,24,7,9,30,13,15,17
245,-30,21,23,6,27,10,12,14,16,18,20,3,24,7,9,30,13,15,17
246,-30,21,23,25,8,10,12,14,16,18,20,22,5,7,9,30,13,15,17
247,-68,21,42,25,27,48,50,52,16,18,20,41,43,26,47,68,32,34,36
248,-68,21,42,25,46,48,50,52,16,18,20,22,43,26,47,68,32,34,36
249,-68,21,42,44,46,48,31,52,16,37,20,22,24,26,47,68,32,34,36
250,-68,21,42,44,46,48,50,52,16,18,20,22,24,26,47,68,32,34,36
251,-26,22,6,9,12,15,18,2,24,8,11,14,17,20,4,26,10,13,16
252,-26,22,6,9,12,15,18,21,5,8,11,14,17,20,4,26,10,13,16
253,-64,22,25,28,31,53,56,40,24,8,11,33,36,39,42,64,48,32,16
254,-64,22,25,28,50,34,18,40,24,46,30,14,36,39,42,64,48,32,16
255,-64,22,25,28,50,34,56,40,24,8,30,14,36,39,42,64,48,32,16
256,-64,22,25,28,50,53,56,40,24,8,11,14,36,39,42,64,48,32,16
257,-64,22,44,28,31,53,37,40,24,27,11,33,36,20,42,64,48,32,16
258,-64,22,44,28,31,53,56,40,24,8,11,33,36,20,42,64,48,32,16
259,-64,22,44,28,50,34,18,21,43,46,30,14,36,20,42,64,48,32,16
260,-64,22,44,28,50,34,37,21,43,27,30,14,36,20,42,64,48,32,16
261,-64,22,44,28,50,34,37,40,24,27,30,14,36,20,42,64,10,32,54
262,-64,22,44,47,31,34,18,40,24,46,30,33,17,20,42,64,48,32,16
263,-102,22,44,66,31,34,37,40,62,65,68,71,36,58,80,102,29,51,73
264,-60,23,8,12,16,20,24,28,32,36,40,44,48,52,37,60,45,30,15
265,-60,23,8,31,16,20,24,28,32,36,40,44,29,52,37,60,45,30,15
266,-60,23,27,12,16,39,24,28,32,36,21,44,48,33,37,60,45,30,15
