count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
1,-8.67,4.22,4.33,2.67,5.67,4.00,7.00,5.33,2.56,6.67,1.00,5.11,2.33,3.56,3.67,2.00,5.00,3.33,6.33,4.67,7.67,6.00,6.11,4.44,1.67,3.00
1,-4.33,2.67,2.17,1.00,2.67,2.58,2.63,2.00,3.13,1.42,1.46,3.00,3.04,1.33,1.38,2.92,2.96,2.33,1.29,1.75,2.88,3.33,1.21,1.67,1.71,1.67
1,-6.50,3.50,3.25,3.75,3.50,4.00,3.75,1.00,4.00,4.50,4.25,4.75,1.25,1.75,4.75,2.00,1.75,5.50,5.25,2.50,2.25,2.75,2.50,3.00,2.75,3.00
1,-5.20,1.60,2.60,3.20,4.20,1.33,2.33,2.93,3.93,2.80,3.80,2.67,1.93,2.53,1.80,2.40,3.40,2.27,3.27,3.87,1.40,2.00,1.27,3.60,2.87,1.00
1,-7.43,2.00,3.71,4.00,3.86,2.29,2.14,4.29,4.14,2.57,2.43,2.71,4.43,4.71,6.43,4.86,1.00,3.14,3.00,5.14,5.00,3.43,3.29,5.43,5.29,3.57
18,-26.00,24.00,13.00,22.00,11.00,20.00,9.00,18.00,7.00,16.00,5.00,14.00,3.00,12.00,1.00,10.00,25.00,8.00,23.00,6.00,21.00,4.00,19.00,2.00,17.00,15.00
2,-13.00,10.00,6.50,7.00,10.00,4.00,7.00,1.00,4.00,11.00,7.50,8.00,4.50,5.00,8.00,2.00,5.00,12.00,8.50,9.00,5.50,6.00,9.00,3.00,6.00,3.00
4,-13.00,6.00,6.50,5.50,6.00,5.00,12.00,11.00,5.00,4.00,11.00,10.00,4.00,3.00,10.00,9.00,3.00,2.00,9.00,8.00,2.00,7.50,8.00,7.00,1.00,7.00
1,-8.67,6.67,4.33,4.67,2.33,2.67,4.67,5.00,7.00,7.33,5.00,5.33,3.00,3.33,1.00,1.33,7.67,3.67,5.67,6.00,3.67,4.00,1.67,2.00,4.00,6.33
2,-6.50,2.75,3.25,5.50,2.75,5.00,5.50,4.50,1.75,4.00,4.50,3.50,4.00,3.00,3.50,2.50,3.00,2.00,2.50,1.50,2.00,1.00,4.75,3.75,1.00,3.75
5,-13.00,8.00,6.50,3.00,8.00,11.00,3.00,6.00,11.00,7.50,6.00,9.00,1.00,4.00,9.00,5.50,4.00,7.00,12.00,2.00,7.00,10.00,2.00,5.00,10.00,5.00
6,-13.00,3.00,6.50,6.00,9.50,9.00,6.00,12.00,2.50,2.00,5.50,5.00,8.50,8.00,11.50,11.00,1.50,1.00,4.50,4.00,7.50,7.00,10.50,10.00,7.00,3.50
1,-6.50,1.50,3.25,3.00,1.50,4.50,3.00,4.92,3.42,3.17,1.67,2.50,1.00,4.00,2.50,3.33,4.00,1.58,5.50,2.00,4.83,3.50,3.08,5.00,3.50,5.00
1,-5.20,3.10,2.60,2.30,1.80,2.80,1.00,2.00,4.10,1.20,3.30,3.00,3.80,2.20,3.00,4.00,2.20,3.20,1.40,2.40,1.90,2.90,1.10,2.10,4.20,3.40
2,-8.67,4.67,4.33,6.44,3.22,5.33,5.00,4.22,1.00,6.00,5.67,2.00,1.67,6.67,6.33,2.67,2.33,4.44,7.00,3.33,3.00,2.22,7.67,4.00,3.67,5.44
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,5.50,2.50,2.00,2.25,5.00,5.25,1.50,5.00,4.50,1.50,1.00,1.25,4.00,4.25,3.75,4.00,3.50,3.75,3.50
1,-5.78,3.56,2.89,1.33,2.11,2.00,2.78,2.67,3.44,3.33,4.11,4.00,4.78,1.78,2.56,2.44,3.22,3.11,1.00,3.78,1.67,4.44,2.33,2.22,3.00,3.67
1,-4.88,2.75,2.44,3.88,3.56,1.75,1.44,2.88,2.56,2.38,3.69,3.50,3.19,1.38,2.69,2.50,2.19,2.00,1.69,3.13,1.19,1.00,2.31,2.12,3.44,1.31
1,-6.50,5.00,3.25,3.50,5.00,2.00,3.50,3.75,2.00,2.25,2.13,4.00,5.50,2.50,4.00,4.25,2.50,2.75,1.00,4.50,4.38,3.00,4.50,1.50,3.00,1.50
2,-8.67,3.33,4.33,6.67,7.67,4.22,5.22,4.67,5.67,5.11,6.11,2.67,3.67,6.00,7.00,3.56,1.67,4.00,5.00,4.44,2.56,2.00,3.00,5.33,3.44,1.00
1,-5.20,3.60,2.60,2.00,1.00,1.70,2.00,1.40,1.70,2.40,1.40,3.40,2.40,1.80,3.40,2.80,1.80,3.80,2.80,3.50,3.80,3.20,3.50,1.60,3.20,4.20
1,-5.20,1.20,2.60,2.40,3.80,1.00,1.10,2.20,2.30,3.40,3.50,2.00,2.10,3.20,2.00,1.80,3.20,3.00,3.10,4.20,1.70,2.80,2.90,4.00,4.10,1.40
1,-6.50,2.50,3.25,5.00,2.50,1.00,5.00,3.50,1.00,2.75,3.50,2.00,2.75,4.50,2.00,3.75,4.50,3.00,3.75,5.50,3.00,1.50,5.50,4.00,1.50,4.00
5,-13.00,12.00,6.50,11.00,5.50,10.00,4.50,9.00,3.50,8.00,2.50,7.00,1.50,6.00,7.00,5.00,6.00,4.00,11.50,3.00,10.50,2.00,9.50,1.00,8.50,7.50
1,-5.57,3.00,2.79,2.29,3.00,1.57,4.14,2.71,3.43,2.00,4.57,3.14,2.00,2.43,1.29,3.57,4.29,2.86,3.57,4.00,1.00,3.29,2.14,2.57,1.43,2.57
1,-5.78,2.67,2.89,3.89,4.11,2.22,1.00,2.00,3.67,1.78,3.44,1.56,3.22,4.22,3.00,4.00,2.78,3.78,2.56,3.56,2.33,1.89,2.11,3.11,4.78,1.67
1,-8.67,4.67,4.33,5.00,4.67,5.33,5.00,1.33,1.00,6.00,5.67,2.00,1.67,6.67,6.33,2.67,2.33,7.33,7.00,3.33,3.00,3.67,7.67,4.00,3.67,4.00
2,-13.00,3.00,6.50,6.00,3.00,9.00,6.00,12.00,9.00,2.00,5.50,5.00,2.00,8.00,5.00,11.00,8.00,1.00,11.00,4.00,7.50,7.00,4.00,10.00,7.00,10.00
1,-8.67,5.33,4.33,2.00,1.00,7.33,6.33,4.00,3.00,3.56,2.56,6.00,5.00,2.67,4.56,5.11,4.11,4.67,3.67,1.33,6.11,6.67,5.67,3.33,2.33,7.67
