count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21
1,-6.57,1.57,3.14,4.71,3.00,4.57,2.86,2.79,4.36,1.00,2.57,2.50,4.07,4.00,5.57,2.21,3.79,3.71,2.00,3.57,1.86,3.43,5.00
26,-23.00,13.00,3.00,16.00,6.00,19.00,9.00,22.00,12.00,2.00,15.00,5.00,18.00,8.00,21.00,11.00,1.00,14.00,4.00,17.00,7.00,20.00,10.00
1,-3.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00
1,-11.50,6.00,6.25,6.50,1.00,7.00,7.25,7.50,2.00,8.00,2.50,8.50,3.00,9.00,3.50,9.50,4.00,4.25,4.50,10.50,5.00,5.25,5.50
1,-4.79,2.29,3.62,1.13,2.46,3.79,2.25,3.58,3.00,2.42,2.79,1.25,3.54,2.00,2.37,1.79,1.21,2.54,1.00,2.33,3.67,1.17,2.50
1,-5.75,2.00,4.00,1.21,2.25,4.25,2.42,2.50,4.50,3.63,2.75,4.75,1.00,3.00,2.13,1.25,3.25,3.33,1.50,3.50,4.54,1.75,3.75
3,-11.50,2.50,5.00,7.50,4.25,1.00,3.50,6.00,8.50,5.25,2.00,4.50,7.00,9.50,6.25,3.00,5.50,8.00,10.50,7.25,4.00,6.50,9.00
3,-7.67,1.33,2.67,4.00,5.33,6.67,2.25,1.67,3.00,4.33,5.67,3.17,4.50,2.00,3.33,4.67,6.00,5.42,1.00,2.33,3.67,5.00,6.33
1,-7.67,5.00,3.87,2.73,4.67,2.00,5.47,4.33,1.67,6.67,4.00,4.40,3.27,3.67,1.00,6.00,3.33,2.20,5.67,3.00,4.93,3.80,2.67
1,-11.50,5.00,4.25,3.50,8.50,2.00,7.00,6.25,5.50,10.50,4.00,3.25,8.25,7.50,1.00,6.00,5.25,4.50,9.50,3.00,8.00,7.25,6.50
1,-7.67,6.67,5.67,4.67,3.67,2.67,1.67,3.22,2.22,3.78,5.33,4.33,3.33,2.33,3.89,5.44,4.44,6.00,5.00,4.00,3.00,2.00,1.00
1,-4.60,2.10,3.05,1.70,1.50,3.60,3.40,3.20,3.00,2.80,2.60,2.40,2.20,2.00,1.80,1.60,1.40,1.20,1.00,3.10,2.90,1.55,2.50
4,-11.50,10.50,9.50,8.50,7.50,6.50,5.50,4.50,3.50,2.50,1.50,6.25,5.25,10.00,9.00,8.00,7.00,6.00,5.00,4.00,3.00,2.00,1.00
2,-11.50,10.50,9.50,8.50,7.50,6.50,5.50,4.50,3.50,8.25,7.25,6.25,5.25,4.25,3.25,8.00,7.00,6.00,5.00,4.00,3.00,2.00,1.00
2,-11.50,9.00,6.50,4.00,7.25,10.50,8.00,5.50,3.00,6.25,9.50,7.00,4.50,2.00,5.25,8.50,6.00,3.50,1.00,4.25,7.50,5.00,2.50
1,-7.67,2.33,4.67,3.17,1.67,4.00,6.33,1.00,3.33,5.67,2.25,2.67,5.00,5.42,2.00,4.33,6.67,1.33,3.67,6.00,4.50,3.00,5.33
1,-4.60,2.00,2.47,1.40,3.40,2.33,2.80,3.27,2.20,1.13,3.13,3.60,1.00,1.47,3.47,2.40,1.33,1.80,2.27,1.20,3.20,2.13,2.60
1,-4.18,3.18,2.18,1.18,1.23,1.27,2.36,1.36,2.45,1.45,2.55,1.55,2.64,1.64,2.73,1.73,2.82,1.82,2.91,2.95,3.00,2.00,1.00
1,-4.60,1.00,2.00,1.47,1.70,1.93,1.40,2.40,3.40,1.33,1.57,1.80,2.80,3.03,3.27,1.20,2.20,3.20,2.67,2.90,3.13,2.60,3.60
1,-6.90,2.40,2.50,4.90,2.70,2.80,2.90,3.00,5.40,5.50,1.00,3.40,3.50,5.90,1.40,1.50,3.90,4.00,4.10,4.20,2.00,4.40,4.50
1,-7.67,1.00,2.00,3.00,4.00,5.00,6.00,3.17,2.25,1.33,2.33,3.33,4.33,5.33,6.33,5.42,4.50,1.67,2.67,3.67,4.67,5.67,6.67
1,-7.67,5.33,3.00,3.22,6.00,3.67,3.89,6.67,4.33,2.00,2.22,5.00,2.67,5.44,5.67,3.33,1.00,3.78,4.00,1.67,4.44,4.67,2.33
2,-7.67,6.67,5.67,4.67,3.67,2.67,5.50,4.50,3.50,6.33,5.33,4.33,3.33,2.33,1.33,4.17,3.17,2.17,5.00,4.00,3.00,2.00,1.00
1,-7.67,6.33,5.00,3.67,2.33,1.00,5.42,6.00,4.67,3.33,2.00,4.50,3.17,5.67,4.33,3.00,1.67,2.25,6.67,5.33,4.00,2.67,1.33
4,-11.50,8.50,5.50,2.50,5.25,8.00,5.00,2.00,10.50,7.50,4.50,7.25,4.25,7.00,4.00,1.00,9.50,6.50,3.50,6.25,9.00,6.00,3.00
4,-7.67,1.33,2.67,4.00,5.33,6.67,5.44,1.67,3.00,4.33,5.67,4.44,3.22,2.00,3.33,4.67,6.00,2.22,1.00,2.33,3.67,5.00,6.33
2,-7.67,3.50,3.17,6.67,6.33,6.00,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,1.67,1.33,1.00,4.50,4.17
1,-7.67,3.22,1.33,2.00,2.67,3.33,4.00,4.67,5.33,6.00,6.67,2.22,5.44,1.00,1.67,2.33,3.00,3.67,4.33,5.00,5.67,6.33,4.44
4,-11.50,10.00,8.50,7.00,5.50,4.00,2.50,1.00,5.25,9.50,8.00,6.50,5.00,3.50,2.00,6.25,10.50,9.00,7.50,6.00,4.50,3.00,1.50
1,-5.75,3.25,2.19,4.00,2.94,4.75,3.69,1.19,3.00,3.38,3.75,4.13,1.63,2.00,2.38,2.75,4.56,2.06,1.00,2.81,1.75,3.56,2.50
4,-11.50,8.00,4.50,1.00,9.00,5.50,2.00,4.25,6.50,3.00,5.25,7.50,4.00,6.25,8.50,5.00,7.25,9.50,6.00,2.50,10.50,7.00,3.50
1,-4.60,1.37,1.43,2.80,2.20,1.60,1.00,1.06,2.43,2.49,3.20,2.60,2.00,1.40,2.11,2.17,3.54,3.60,3.00,2.40,1.80,3.17,3.23
3,-11.50,5.50,5.25,5.00,10.50,4.50,4.25,4.00,9.50,3.50,9.00,3.00,8.50,2.50,8.00,2.00,7.50,7.25,7.00,1.00,6.50,6.25,6.00
2,-11.50,5.25,10.50,4.25,9.50,3.25,8.50,8.00,7.50,7.00,6.50,6.00,5.50,5.00,4.50,4.00,3.50,3.00,8.25,2.00,7.25,1.00,6.25
2,-7.67,6.67,5.67,4.67,3.67,2.67,1.67,4.50,3.50,6.33,5.33,4.33,3.33,2.33,1.33,4.17,3.17,6.00,5.00,4.00,3.00,2.00,1.00
2,-5.75,4.75,3.75,2.75,1.75,3.63,4.54,4.50,3.50,2.50,1.50,2.42,3.33,4.25,3.25,2.25,1.25,1.21,2.13,4.00,3.00,2.00,1.00
4,-11.50,2.00,4.00,6.00,8.00,10.00,6.25,2.50,4.50,6.50,8.50,10.50,1.00,3.00,5.00,7.00,9.00,5.25,1.50,3.50,5.50,7.50,9.50
1,-4.60,2.40,1.73,2.60,3.47,1.27,2.13,3.00,2.33,3.20,1.00,3.40,1.20,3.60,1.40,2.27,1.60,2.47,3.33,1.13,2.00,2.87,2.20
1,-7.67,3.78,5.00,3.67,2.33,1.00,4.78,6.00,4.67,3.33,2.00,5.78,1.89,5.67,4.33,3.00,1.67,2.89,6.67,5.33,4.00,2.67,3.89
1,-5.75,1.67,3.33,3.08,4.75,2.58,2.33,4.00,3.75,1.58,1.33,3.00,2.75,4.42,4.17,2.00,1.75,3.42,3.17,1.00,2.67,2.42,4.08
1,-7.67,6.00,4.33,2.67,1.00,1.89,5.33,3.67,2.00,2.89,3.78,4.67,3.00,3.89,4.78,5.67,4.00,2.33,5.78,6.67,5.00,3.33,1.67
1,-5.75,3.13,3.38,3.63,1.00,1.25,1.50,4.63,2.00,2.25,2.50,2.75,3.00,3.25,3.50,3.75,1.13,4.25,4.50,4.75,2.13,2.38,2.63
1,-7.67,2.00,4.00,6.00,2.25,2.33,4.33,6.33,4.50,2.67,4.67,6.67,1.00,3.00,5.00,3.17,1.33,3.33,5.33,5.42,1.67,3.67,5.67
1,-7.67,5.67,3.67,5.50,3.50,5.33,3.33,1.33,3.17,5.00,3.00,1.00,6.67,4.67,2.67,4.50,6.33,4.33,2.33,4.17,2.17,4.00,2.00
1,-7.67,2.00,4.00,2.17,4.17,2.33,4.33,6.33,4.50,2.67,4.67,6.67,1.00,3.00,5.00,3.17,1.33,3.33,5.33,3.50,5.50,3.67,5.67
1,-5.75,3.56,2.81,3.50,2.75,2.00,1.25,3.38,1.19,4.75,4.00,3.25,2.50,1.75,1.00,4.56,2.38,4.50,3.75,3.00,2.25,2.94,2.19
1,-5.31,2.00,4.00,4.23,2.69,2.92,3.15,1.62,3.62,2.08,2.31,4.31,1.00,3.00,3.23,1.69,3.69,2.15,2.38,2.62,1.08,1.31,3.31
1,-5.75,4.75,3.75,2.75,1.75,3.63,4.06,4.50,3.50,2.50,1.50,3.38,2.38,4.25,3.25,2.25,1.25,1.69,2.13,4.00,3.00,2.00,1.00
21,-23.00,4.00,8.00,12.00,16.00,20.00,1.00,5.00,9.00,13.00,17.00,21.00,2.00,6.00,10.00,14.00,18.00,22.00,3.00,7.00,11.00,15.00,19.00
3,-5.75,2.13,4.25,3.50,2.75,2.00,1.25,3.38,4.06,4.75,4.00,3.25,2.50,1.75,1.00,1.69,2.38,4.50,3.75,3.00,2.25,1.50,3.63
1,-5.11,3.06,1.00,4.06,2.00,1.22,3.00,2.22,1.44,1.94,2.44,1.67,3.44,2.67,3.17,3.67,2.89,2.11,3.89,3.11,1.06,4.11,2.06
1,-7.67,3.17,2.50,5.67,5.00,4.33,3.67,3.00,2.33,1.67,1.00,4.17,3.50,6.67,6.00,5.33,4.67,4.00,3.33,2.67,2.00,5.17,4.50
1,-7.67,3.00,6.00,1.33,4.33,2.22,2.67,5.67,1.00,4.00,4.44,2.33,5.33,3.22,3.67,6.67,2.00,5.00,5.44,3.33,6.33,1.67,4.67
1,-5.31,1.00,2.00,3.00,2.23,3.23,4.23,3.46,2.69,3.69,1.15,2.15,3.15,4.15,1.62,2.62,1.85,1.08,2.08,3.08,2.31,3.31,4.31
1,-4.60,1.40,2.80,3.28,1.00,1.48,1.96,1.52,2.00,1.56,2.96,1.60,3.00,1.64,3.04,2.60,3.08,2.64,3.12,3.60,1.32,1.80,3.20
1,-3.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00
1,-5.31,3.58,1.85,1.00,3.69,2.85,2.00,1.15,2.08,3.00,2.15,1.31,4.00,3.15,2.31,3.23,4.15,3.31,2.46,1.62,4.31,3.46,1.73
1,-4.60,3.40,2.20,1.00,2.87,3.20,2.00,2.33,1.13,1.47,1.80,2.13,2.47,2.80,3.13,3.47,2.27,2.60,1.40,1.73,3.60,2.40,1.20
1,-3.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00
1,-6.27,3.27,4.45,1.45,2.64,3.82,2.91,2.00,5.27,4.36,3.45,4.64,1.64,2.82,1.91,1.00,4.27,3.36,2.45,3.64,4.82,1.82,3.00
18,-23.00,8.00,16.00,1.00,9.00,17.00,2.00,10.00,18.00,3.00,11.00,19.00,4.00,12.00,20.00,5.00,13.00,21.00,6.00,14.00,22.00,7.00,15.00
1,-7.67,1.50,3.00,4.50,2.17,3.67,5.17,6.67,4.33,2.00,3.50,5.00,2.67,4.17,5.67,3.33,1.00,2.50,4.00,5.50,3.17,4.67,6.17
1,-7.67,3.67,2.22,3.33,4.44,3.00,6.67,2.67,6.33,2.33,6.00,2.00,5.67,1.67,5.33,1.33,5.00,1.00,4.67,3.22,4.33,5.44,4.00
1,-5.31,3.00,4.23,3.69,3.15,2.62,2.08,3.31,1.00,2.23,3.46,1.15,4.15,1.85,3.08,4.31,2.00,3.23,2.69,2.15,1.62,1.08,2.31
2,-11.50,5.50,5.25,5.00,10.50,4.50,4.25,4.00,9.50,3.50,3.25,3.00,8.50,8.25,8.00,2.00,7.50,7.25,7.00,1.00,6.50,6.25,6.00
1,-5.75,1.50,3.00,4.50,4.56,3.19,3.25,4.75,3.38,2.00,3.50,3.56,2.19,2.25,3.75,2.38,1.00,2.50,2.56,1.19,1.25,2.75,4.25
1,-6.27,1.64,3.27,2.82,4.45,4.00,3.55,1.00,2.64,4.27,1.73,2.32,3.95,4.55,2.00,3.64,5.27,2.73,2.27,1.82,3.45,3.00,4.64
1,-4.31,1.31,1.19,1.06,2.37,2.25,2.12,2.00,3.31,3.19,1.63,2.94,1.37,2.69,1.12,1.00,2.31,2.19,2.06,1.94,3.25,3.12,3.00
1,-3.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00
20,-23.00,7.00,14.00,21.00,5.00,12.00,19.00,3.00,10.00,17.00,1.00,8.00,15.00,22.00,6.00,13.00,20.00,4.00,11.00,18.00,2.00,9.00,16.00
1,-4.60,2.96,1.32,1.52,1.72,1.00,3.04,1.40,1.60,1.80,2.00,3.12,1.48,2.60,2.80,3.00,3.20,1.56,3.60,2.88,3.08,3.28,1.64
1,-4.60,1.75,2.35,1.80,1.25,3.00,3.60,3.05,1.35,3.10,1.40,2.00,2.60,3.20,1.50,3.25,1.55,1.00,1.60,3.35,2.80,2.25,2.85
23,-23.00,20.00,17.00,14.00,11.00,8.00,5.00,2.00,22.00,19.00,16.00,13.00,10.00,7.00,4.00,1.00,21.00,18.00,15.00,12.00,9.00,6.00,3.00
1,-5.48,4.48,3.48,3.57,2.57,1.57,1.67,1.76,1.86,1.95,3.14,2.14,3.33,2.33,3.52,3.62,3.71,3.81,3.90,2.90,1.90,2.00,1.00
1,-4.31,2.37,3.31,1.37,2.31,3.25,1.31,2.25,3.19,2.69,2.19,3.12,1.19,2.12,1.63,1.12,2.06,3.00,1.06,2.00,2.94,1.00,1.94
2,-11.50,7.50,3.50,5.25,7.00,3.00,10.50,6.50,2.50,10.00,6.00,2.00,9.50,5.50,1.50,9.00,5.00,1.00,8.50,4.50,6.25,8.00,4.00
1,-5.75,1.75,3.50,2.38,1.25,3.00,4.75,3.63,2.50,1.38,3.13,2.00,3.75,2.63,4.38,3.25,2.13,1.00,2.75,4.50,3.38,2.25,4.00
1,-5.11,1.22,2.44,1.11,2.33,1.00,2.22,3.44,2.11,3.33,2.00,1.94,3.17,3.11,1.78,3.00,1.67,2.89,4.11,2.78,4.00,2.67,3.89
25,-23.00,11.00,22.00,10.00,21.00,9.00,20.00,8.00,19.00,7.00,18.00,6.00,17.00,5.00,16.00,4.00,15.00,3.00,14.00,2.00,13.00,1.00,12.00
1,-5.11,1.11,2.22,3.33,1.89,3.00,4.11,2.67,3.78,2.33,3.44,2.00,3.11,1.67,2.78,1.33,2.44,1.00,2.11,3.22,1.78,2.89,4.00
