count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
3,-15.00,12.00,7.50,10.00,10.00,7.00,12.00,5.00,9.00,6.00,4.00,5.00,7.00,2.00,9.00,9.50,6.00,3.00,14.00,4.00,1.00,11.00,3.00,13.00,8.50,6.50,5.50,8.00,11.00,8.00
1,-5.00,4.00,2.50,3.33,2.50,4.00,2.33,1.67,3.00,2.00,3.00,2.50,1.50,2.33,3.00,1.50,2.00,1.00,3.00,1.33,2.00,2.00,2.67,2.67,3.67,1.33,3.50,1.00,3.67,3.50
1,-10.00,4.00,5.00,5.00,7.50,6.50,9.00,5.00,8.00,2.00,5.50,2.50,6.50,4.00,3.00,4.00,7.00,6.00,3.00,5.50,7.00,4.50,1.00,6.00,7.00,3.00,6.00,3.50,4.50,3.50
1,-7.50,3.00,3.75,5.00,1.25,4.25,3.00,2.50,2.25,5.25,3.50,6.25,4.25,5.50,6.00,5.50,1.50,4.50,4.75,3.50,2.75,4.00,4.50,2.00,6.50,1.00,2.00,3.25,4.00,3.25
1,-10.00,4.00,5.00,5.00,5.00,4.00,9.00,5.00,8.00,2.00,8.00,5.00,4.00,4.00,3.00,9.00,7.00,6.00,8.00,3.00,2.00,2.00,1.00,6.00,7.00,3.00,1.00,6.00,7.00,6.00
1,-4.29,1.05,2.14,2.70,2.94,2.79,3.19,1.59,2.10,2.19,2.89,1.35,1.60,2.16,3.29,1.44,1.00,3.24,3.21,1.70,1.08,1.40,1.10,2.13,2.75,1.54,2.84,1.49,2.59,2.68
1,-15.00,12.00,7.50,5.00,5.00,2.00,4.50,10.00,9.00,6.00,14.00,10.00,9.50,7.00,9.00,7.00,6.00,3.00,4.00,6.50,11.00,1.00,10.50,8.00,3.50,11.50,8.00,13.00,8.50,5.50
1,-10.00,2.00,5.00,3.33,5.00,2.00,7.00,6.67,4.00,6.00,4.00,5.00,7.00,5.33,9.00,7.00,1.00,8.00,4.00,4.00,6.00,6.00,3.00,4.67,2.67,7.33,3.00,8.00,6.00,3.00
1,-10.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,8.00,2.00,8.00,5.00,9.00,4.00,3.00,9.00,7.00,6.00,8.00,3.00,2.00,2.00,6.00,6.00,7.00,3.00,1.00,6.00,7.00,1.00
1,-5.00,4.00,2.50,1.67,1.67,2.33,4.00,3.33,3.00,2.00,1.33,3.33,2.33,2.33,3.00,2.33,2.00,1.00,1.33,1.33,3.67,3.67,1.00,2.67,3.67,1.33,2.67,2.67,3.67,2.67
1,-6.00,3.60,3.00,2.00,5.00,3.60,3.60,4.00,1.20,4.80,1.20,1.00,3.60,3.60,2.20,3.60,3.80,2.40,1.20,1.20,4.80,4.80,2.40,2.40,4.80,1.20,2.40,2.40,4.80,2.40
1,-3.00,1.00,1.50,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00
1,-10.00,4.00,5.00,3.33,8.33,7.33,9.00,6.67,8.00,2.00,4.67,1.67,5.67,7.33,3.00,5.67,7.00,6.00,4.67,6.33,5.33,5.33,1.00,2.67,3.67,6.33,4.33,2.67,3.67,4.33
1,-6.00,2.00,3.00,4.00,3.00,4.00,3.00,2.00,4.00,2.00,4.00,3.00,1.00,4.00,5.00,3.00,1.00,4.00,2.00,3.00,4.00,2.00,3.00,2.00,5.00,1.00,3.00,2.00,3.00,5.00
1,-5.00,3.00,2.50,3.33,3.33,3.00,3.00,1.67,1.00,4.00,1.00,1.67,3.00,3.00,1.00,3.00,4.00,2.00,2.67,1.00,2.33,4.00,2.00,2.00,2.33,2.67,2.00,2.00,4.00,2.00
1,-7.50,2.25,3.75,2.50,5.00,3.50,2.25,5.00,4.50,3.00,2.00,2.50,3.50,1.00,4.50,4.75,3.00,5.25,3.25,5.75,4.25,5.50,5.25,6.50,4.25,3.25,2.75,4.00,1.75,4.00
